structure(list(CpGmarker = c("(Intercept)", "cg00075967", "cg00374717", 
"cg00864867", "cg00945507", "cg01027739", "cg01353448", "cg01584473", 
"cg01644850", "cg01656216", "cg01873645", "cg01968178", "cg02085507", 
"cg02154074", "cg02217159", "cg02331561", "cg02332492", "cg02364642", 
"cg02388150", "cg02479575", "cg02489552", "cg02580606", "cg02654291", 
"cg02827112", "cg02972551", "cg03103192", "cg03167275", "cg03270204", 
"cg03565323", "cg03588357", "cg03760483", "cg04084157", "cg04126866", 
"cg04528819", "cg04836038", "cg05250458", "cg05294243", "cg05365729", 
"cg05675373", "cg05755779", "cg05921699", "cg05960024", "cg06121469", 
"cg06144905", "cg06361108", "cg06462291", "cg06493994", "cg06557358", 
"cg06738602", "cg06810647", "cg06952310", "cg06993413", "cg07285276", 
"cg07291563", "cg07337598", "cg07455279", "cg07595943", "cg08030082", 
"cg08090772", "cg08124722", "cg08251036", "cg08370996", "cg08413469", 
"cg08434234", "cg08771731", "cg08965235", "cg09019938", "cg09118625", 
"cg09191327", "cg09418283", "cg09509673", "cg09785172", "cg09869858", 
"cg09885951", "cg10281002", "cg10376763", "cg10377274", "cg10486998", 
"cg10523019", "cg10920957", "cg11932564", "cg12351433", "cg12373771", 
"cg12768605", "cg12830694", "cg12946225", "cg13038560", "cg13216057", 
"cg13319175", "cg13460409", "cg13682722", "cg13836627", "cg13854874", 
"cg13899108", "cg13975369", "cg14258236", "cg14308452", "cg14329157", 
"cg14424579", "cg14501253", "cg14658362", "cg14723032", "cg14894144", 
"cg14992253", "cg15341340", "cg15381769", "cg15547534", "cg15661409", 
"cg15974053", "cg15988232", "cg16150435", "cg16241714", "cg16494477", 
"cg16547529", "cg16579101", "cg17063929", "cg17099569", "cg17285325", 
"cg17408647", "cg17655614", "cg17729667", "cg17853587", "cg17960516", 
"cg18055007", "cg18180783", "cg18440048", "cg18573383", "cg18983672", 
"cg18984151", "cg19008809", "cg19167673", "cg19273182", "cg19305227", 
"cg19346193", "cg19478743", "cg19514928", "cg19692710", "cg19945840", 
"cg20295671", "cg20305610", "cg20524216", "cg20692569", "cg20761322", 
"cg20795863", "cg20828084", "cg20914508", "cg20947775", "cg20999813", 
"cg21096399", "cg21378206", "cg21460081", "cg21801378", "cg21870884", 
"cg22006386", "cg22289837", "cg22432269", "cg22449114", "cg22679120", 
"cg22736354", "cg22809047", "cg22901840", "cg22920873", "cg23517605", 
"cg23662675", "cg23941599", "cg24116886", "cg24126851", "cg24254120", 
"cg24262469", "cg24450312", "cg24580001", "cg24834740", "cg25070637", 
"cg25148589", "cg25505610", "cg25552492", "cg25683012", "cg25771195", 
"cg25781123", "cg26003813", "cg26005082", "cg26045434", "cg26297688", 
"cg26372517", "cg26453588", "cg26620959", "cg26842024", "cg26845300", 
"cg27092035", "cg27169020", "cg27319898", "cg27377450", "cg27413543", 
"cg27494383", "cg00091693", "cg00168942", "cg00431549", "cg00436603", 
"cg01027805", "cg01234063", "cg01262913", "cg01407797", "cg01459453", 
"cg01485645", "cg01511567", "cg01560871", "cg01570885", "cg01820374", 
"cg02047577", "cg02071305", "cg02275294", "cg02335441", "cg03019000", 
"cg03286783", "cg03330058", "cg03578041", "cg03682823", "cg03891319", 
"cg03947362", "cg04005032", "cg04094160", "cg04121983", "cg04268405", 
"cg04431054", "cg04452713", "cg04474832", "cg04999691", "cg05442902", 
"cg05590257", "cg05847778", "cg05903609", "cg06044899", "cg06117855", 
"cg06513075", "cg06688848", "cg06836772", "cg06926735", "cg07158339", 
"cg07388493", "cg07408456", "cg07498421", "cg07663789", "cg07730301", 
"cg07770222", "cg07849904", "cg08186124", "cg08331960", "cg09133026", 
"cg09441152", "cg09646392", "cg09722397", "cg09722555", "cg09809672", 
"cg10045881", "cg10266490", "cg10345936", "cg10865119", "cg10940099", 
"cg11025793", "cg11299964", "cg11314684", "cg11388238", "cg11653266", 
"cg12413566", "cg12616277", "cg12941369", "cg12985418", "cg13129046", 
"cg13269407", "cg13302154", "cg13547237", "cg13828047", "cg13931228", 
"cg14060828", "cg14163776", "cg14175438", "cg14408969", "cg14409958", 
"cg14423778", "cg14597908", "cg14654875", "cg14727952", "cg15185286", 
"cg15262928", "cg15703512", "cg15804973", "cg16034652", "cg16168311", 
"cg16358826", "cg16408394", "cg16419345", "cg16744741", "cg16899442", 
"cg16984944", "cg17274064", "cg17324128", "cg17338403", "cg17589341", 
"cg17686885", "cg18031008", "cg18139769", "cg18328933", "cg18956095", 
"cg19044674", "cg19046959", "cg19420968", "cg19569684", "cg19706682", 
"cg19722847", "cg19724470", "cg19761273", "cg19853760", "cg20100381", 
"cg20240860", "cg21211748", "cg21305265", "cg21370143", "cg21395782", 
"cg21950518", "cg22171829", "cg22190114", "cg22197830", "cg22568540", 
"cg22613010", "cg22637507", "cg22947000", "cg23092072", "cg23124451", 
"cg23180365", "cg23786576", "cg24058132", "cg24081819", "cg24471894", 
"cg24888049", "cg24899750", "cg25101936", "cg25159610", "cg25166896", 
"cg25411725", "cg25564800", "cg25657834", "cg25809905", "cg25928579", 
"cg26043391", "cg26162695", "cg26394940", "cg26456957", "cg26614073", 
"cg26723847", "cg26824091", "cg27015931", "cg27016307", "cg27202708", 
"cg27544190"), CoefficientTraining = c(0.695507258, 0.12933661, 
0.005017857, 1.59976405, 0.056852418, 0.102862854, 0.238560451, 
0.088628396, 0.159948713, 0.042805528, -0.604056375, 1.169245865, 
0.006127551, 0.044757003, -0.086512604, 0.126928853, 0.062771342, 
-0.024270255, 0.425971257, 1.875446187, 0.073741383, 0.349274493, 
0.140583491, 0.050646083, 0.47394601, 0.023536343, -0.551041258, 
0.013544725, -0.207653221, -0.858843002, 0.014946399, 1.034144196, 
0.079374551, 0.771798107, 0.440056203, 0.087295559, 0.11851793, 
0.052940133, 0.346355946, 0.060215102, 0.018064958, 0.081029885, 
0.027024582, 0.597211279, 0.43315799, 0.015758987, 1.858006164, 
-0.141331243, -0.151674548, 0.374888117, 0.091760658, 1.503184415, 
0.192242573, 0.041640015, 0.088226928, 0.005632264, 0.051178068, 
0.012830322, -0.341458098, 0.008484904, 0.068634882, 0.812907628, 
0.140510611, -0.211774018, 0.103386824, -0.220130796, -0.12172174, 
0.307808351, -0.278393765, 0.027502906, 0.013745188, -0.016561072, 
0.066316642, 0.095237498, 0.468416918, -0.115358177, 0.057139076, 
-0.389335841, 0.514646778, -0.399903548, 0.700001079, 0.079279219, 
0.533301546, -0.188560769, 0.339726781, 0.133612754, 0.261380978, 
-0.138857398, 0.013848218, 0.412023313, 0.110100933, 0.029983661, 
0.049613334, 0.033651673, 0.378716214, 0.086897539, 0.003142044, 
0.251930765, 3.067470269, -0.066922165, -0.168603536, 0.000900283, 
0.053377439, 0.035824163, -0.468757862, -0.119627233, 0.382897521, 
0.043744933, -0.009486551, 0.036324808, 0.017495382, 2.551903028, 
-0.066439934, 0.167493846, -0.096067716, -0.001985558, 0.115572976, 
0.137315506, -0.094843228, 0.156624167, 0.146830197, -0.022992725, 
0.066620539, 0.037915414, 0.121873904, 0.356369685, 0.554265536, 
0.201888482, 0.315009523, 0.590929745, -0.47038013, -0.754588838, 
0.019259662, 0.149635977, 0.122668557, -0.005027927, 0.021362462, 
0.62850032, -0.028008213, -0.164360384, -0.389841338, 0.744776072, 
0.116737935, 0.094275521, 0.14446198, -0.003601976, -0.216873362, 
-0.387628988, 0.119679089, 0.195972049, -0.150206847, 0.205911023, 
0.135875207, 0.027954025, -0.057604916, -0.047520857, 0.009556913, 
0.008321411, 1.718507337, 0.160173786, 0.078584998, 0.114374788, 
0.128377865, 0.600765489, 0.266499641, 0.187704497, 0.000792206, 
0.372917726, 0.152852459, -0.001508834, 0.339639763, -0.087006506, 
-0.279922439, 0.179969129, 1.50223047, -0.176029721, -1.392021375, 
0.304478062, 0.019974651, -0.192765894, 0.283314043, -0.296285378, 
0.959651842, 0.126025756, 0.127052431, -0.040743067, 0.358161798, 
0.254089345, -0.055768503, 0.087286864, -0.211230721, 0.092440884, 
-0.261275244, 0.064596615, -0.002008493, -0.111945219, -0.136199957, 
0.000265206, -0.167672796, -0.040535924, -0.033581152, -0.379166543, 
-0.345952077, -0.025753328, -0.686111875, -0.036910708, -0.031258306, 
-0.271122363, -0.658400181, -0.048429497, -0.337498333, -0.17128537, 
-0.459777041, -0.854784621, -0.064471129, -0.032630972, -0.112677232, 
-0.026893522, -0.301555266, -0.144763726, -0.201195165, 0.054920672, 
-0.416694314, -0.05992505, -0.001478366, -0.444042106, -0.001756899, 
-0.578208568, -0.031153885, -0.058704445, -0.158648055, -0.142865007, 
-0.007113851, 0.130551876, -0.016307574, -0.238015601, 0.001010208, 
-0.626329239, -0.520727113, -0.218776385, -0.059490426, -0.074789714, 
-0.01177889, 0.009940405, -0.116542884, -0.070505215, -0.42705014, 
-0.196543481, -0.683075851, -0.000417407, -0.147296004, -0.346465927, 
-0.391318905, -0.046803147, -0.014675, 0.069971286, -0.069157921, 
0.093135749, -0.012053497, -0.157897406, -0.076158602, -0.35058529, 
-0.176347192, -0.045644385, -0.002979815, -0.131067992, -0.431303727, 
-0.205992326, -0.091238949, -0.003525343, -0.201508653, -0.448971744, 
-0.12067687, -0.303565965, -0.119511769, -0.336713957, -0.140373287, 
-0.050383781, -0.087120888, -0.030798249, -0.122182935, -0.136027886, 
-0.241642003, -0.078482669, -0.730702811, -0.108169109, 0.006495541, 
-0.196860712, -0.012966376, -1.719195146, 0.282563693, -0.3462842, 
-0.153803786, -5.94e-06, -0.000157189, -0.569717328, -0.645058713, 
-0.065957735, -0.057992142, 0.264553633, -0.089986969, -0.37048069, 
-0.478583455, -0.055931441, -0.069773889, 0.098912421, -0.286095083, 
-0.103539266, -0.452037396, -0.104549906, -0.88692879, -0.241884461, 
-0.120248941, -0.052478619, -0.166397828, -0.045368222, -0.054401836, 
-0.123872644, -0.002510616, -0.133887348, 0.122000415, -0.214854921, 
0.020951084, -0.00136474, -0.161364515, -0.385598354, 0.999917662, 
-0.118914538, -0.17318824, -0.359681997, -0.243414212, -0.00950238, 
-0.057512039, -0.129936396, -0.307424926, -0.057744615, 0.224446911, 
-0.002315093, -0.028135965, -0.004461622, -0.120291759, -0.216624999, 
-0.030298685, -0.361822974, -0.043863368, -0.166268862, -0.159361013, 
-0.506521375, -0.144822054, 0.549029142, -0.466528425, -0.035326263, 
-0.138635766, -0.869124446), CoefficientTrainingShrunk = c(0.886919795, 
0.108096063, NA, 1.863968574, NA, NA, 0.235852029, NA, NA, NA, 
NA, 0.289320053, NA, NA, -0.067976604, 0.354782962, 0.134285197, 
NA, 0.009137213, 2.039720589, 0.00110968, 0.185193882, NA, NA, 
NA, NA, NA, NA, NA, NA, NA, 0.763330927, NA, 1.447966286, NA, 
NA, NA, NA, 0.187092941, NA, NA, NA, NA, 0.463910297, NA, NA, 
1.677018893, -0.208235948, NA, 0.008460559, NA, 0.050943591, 
NA, NA, NA, NA, NA, NA, -0.33190174, NA, NA, NA, NA, NA, NA, 
NA, NA, NA, -0.017810648, NA, NA, NA, NA, NA, 0.644843308, NA, 
NA, NA, 0.361338501, NA, NA, NA, NA, NA, 0.333855071, 0.530482912, 
0.306105836, NA, NA, 0.275569549, 0.21846543, NA, NA, NA, 0.320199312, 
NA, NA, NA, 3.026873503, NA, NA, NA, NA, NA, NA, NA, 0.137235675, 
0.008380636, NA, NA, NA, 3.297841715, NA, 0.093427143, NA, NA, 
NA, NA, NA, NA, NA, NA, NA, NA, 0.093105189, 0.249750042, NA, 
0.030218972, 0.086714287, 0.327085225, -0.651470434, NA, NA, 
NA, NA, NA, NA, 0.763203816, NA, NA, NA, 0.797530652, NA, NA, 
0.179830965, NA, NA, NA, NA, 0.558785974, NA, NA, 0.079569625, 
NA, NA, NA, NA, NA, 2.262766484, NA, 0.095064103, 0.655583459, 
0.310108799, 0.352078709, NA, NA, NA, NA, 0.13428669, NA, 0.247742587, 
NA, -0.44666326, NA, 1.772906777, NA, NA, 0.514254835, NA, NA, 
0.547567138, NA, 0.883216148, NA, 0.188751514, NA, 0.051522717, 
0.474605378, NA, NA, -0.048598042, 0.362731851, NA, NA, NA, NA, 
-0.350739715, NA, -0.301922411, NA, NA, -0.141060864, -0.592415753, 
NA, -1.864349749, NA, -0.092113005, -0.211852245, NA, NA, -0.740069387, 
NA, -0.546028961, -0.559727496, NA, NA, NA, NA, NA, NA, NA, NA, 
-0.23291363, NA, NA, -0.275148589, NA, -0.618797077, NA, NA, 
NA, NA, NA, NA, NA, NA, NA, -0.490713553, -0.629412185, -0.125230448, 
NA, NA, NA, NA, NA, NA, -0.625384236, NA, NA, NA, -0.002921084, 
NA, -0.189294522, NA, NA, NA, NA, NA, -0.074857504, NA, NA, -0.475300518, 
NA, -0.215453029, NA, -0.028672434, NA, -0.030879589, -0.038113525, 
NA, -0.382640829, -0.158465037, -0.360016319, NA, NA, NA, NA, 
NA, NA, NA, -0.036208905, NA, NA, NA, NA, NA, NA, NA, NA, NA, 
NA, -0.497488212, NA, NA, NA, -0.851186251, -0.009380072, NA, 
NA, NA, NA, -0.177608179, NA, NA, NA, NA, NA, NA, -0.672425548, 
-0.146940496, -0.93416923, -0.072551939, NA, NA, NA, NA, NA, 
NA, NA, -0.013845279, NA, -0.17248215, NA, NA, NA, -0.358490445, 
NA, NA, NA, NA, -0.077071346, NA, NA, NA, -0.256103442, NA, NA, 
NA, NA, NA, NA, -0.348900512, NA, NA, NA, -0.344126844, NA, -0.740945549, 
NA, NA, -0.764866217, NA, -0.104235908, -1.230694818), varByCpG = c(NA, 
0.026, 0.012, 0.00087, 0.016, 0.011, 0.021, 0.0058, 0.002, 0.023, 
0.00017, 0.005, 0.031, 0.0013, 0.008, 0.0058, 0.0086, 0.0064, 
0.0094, 0.00042, 0.042, 0.0094, 0.019, 0.00079, 0.0033, 0.021, 
0.0011, 0.043, 0.0031, 0.0011, 0.025, 0.003, 0.013, 0.0027, 0.0025, 
0.0072, 0.0056, 0.0093, 0.0056, 0.0058, 0.019, 0.021, 0.0019, 
0.025, 0.00075, 0.0039, 0.0038, 0.00097, 0.0052, 0.0082, 0.016, 
0.0039, 0.01, 0.00024, 0.012, 0.011, 0.0068, 0.019, 0.0029, 0.0094, 
0.0051, 0.0021, 0.00031, 0.0012, 3e-04, 0.009, 0.00092, 0.017, 
0.00097, 0.00032, 0.016, 0.0064, 0.0013, 0.00081, 0.0085, 0.0078, 
0.0039, 0.0027, 0.0048, 0.00085, 0.0026, 0.0056, 0.0048, 0.005, 
0.015, 0.0017, 0.016, 0.0027, 0.025, 0.0088, 0.0019, 0.00091, 
0.0045, 0.009, 0.01, 0.012, 0.014, 0.0046, 0.00047, 0.00063, 
0.00054, 0.012, 0.013, 0.0016, 0.0066, 0.00079, 0.0026, 0.025, 
0.0061, 0.014, 0.0035, 0.00019, 0.00052, 0.014, 0.0024, 0.024, 
0.031, 0.0017, 0.00087, 0.01, 0.0022, 0.00058, 0.0023, 0.0085, 
0.0035, 0.0045, 0.0016, 0.012, 0.0042, 0.0041, 0.0021, 0.00049, 
0.0078, 0.013, 0.00064, 0.00062, 0.017, 0.0081, 0.0064, 0.00026, 
0.00034, 0.015, 0.0017, 0.011, 0.015, 0.0027, 0.00031, 0.00014, 
0.0091, 0.0063, 0.0022, 0.0021, 0.017, 0.0018, 0.017, 0.00026, 
0.011, 0.018, 0.0086, 0.03, 0.013, 0.00037, 0.0031, 0.00041, 
0.004, 0.0093, 0.012, 0.0068, 0.0089, 0.0044, 0.0092, 5e-04, 
2e-04, 0.0076, 0.001, 0.0019, 2e-04, 0.01, 0.0011, 0.0036, 0.00048, 
0.0031, 0.001, 0.017, 0.017, 0.0016, 0.0014, 0.0026, 0.00096, 
0.026, 0.0017, 0.0073, 0.00029, 0.0059, 0.0067, 0.022, 0.032, 
0.018, 0.00033, 0.0029, 0.02, 0.0084, 0.012, 0.0014, 0.0079, 
0.0099, 0.0076, 0.039, 6e-05, 0.0082, 0.0015, 0.00095, 0.0094, 
0.0041, 0.021, 0.0089, 0.0042, 0.0017, 0.00017, 0.00025, 0.00027, 
